"";"1003404";"Vıprodej";"3NK002 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
"";"1003405";"Vıprodej";"3P8005 25x25";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;F
"";"1003410";"Vıprodej";"3RD016 33x33";"  1";" 20";" ";"";1,330;"";69,00;"m2";0,00000;18500,0;T
"";"1003411";"Vıprodej";"3RD017 33x33";"  1";" 20";" ";"";1,330;"";69,00;"m2";0,00000;18500,0;T
"";"1003412";"Vıprodej";"3S1002 15x15";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;F
"";"1003413";"Vıprodej";"3S1008 15x15";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;T
"";"1003415";"Vıprodej";"3UN001 33x16";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;1150,0;T
"";"1003419";"Vıprodej";"411190 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003420";"Vıprodej";"411637 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003421";"Vıprodej";"411771 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003422";"Vıprodej";"412104 15x20";"  1";" 20";" ";"";1,000;"";69,00;"m2";145,20000;12500,0;T
"";"1003423";"Vıprodej";"412774 2j 15x20";"  1";" 20";" ";"";1,000;"2";69,00;"m2";122,10000;12500,0;T
"";"1003424";"Vıprodej";"413555 modrá kobaltová tmavá lesklá 2j 20x20";"  1";" 20";" ";"";1,000;"2";69,00;"m2";184,80000;12500,0;T
"";"1003425";"Vıprodej";"41B104 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003432";"Vıprodej";"4A5006 25x2,5";"  1";" 21";" ";"";0,000;"";18,00;"ks";166,00000;150,0;F
"";"1003436";"Vıprodej";"4A5012 25x5";"  1";" 21";" ";"";0,000;"";18,00;"ks";166,00000;150,0;F
"";"1003437";"Vıprodej";"4A5013 25x5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;T
"";"1003438";"Vıprodej";"4A8001 15x3";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;F
"";"1003448";"Vıprodej";"4B0012 roh";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;50,0;T
"";"1003451";"Vıprodej";"4B0023 5x3";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;20,0;T
"";"1003453";"Vıprodej";"4B2017 roh";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;20,0;T
"";"1003456";"Vıprodej";"4B8001 20x5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;20,0;T
"";"1003457";"Vıprodej";"4BC002 9,7x4";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;20,0;F
"";"1003461";"Vıprodej";"4C4079 20x25";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;12500,0;T
"";"1003468";"Vıprodej";"4C4226 20x25";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;12500,0;T
"";"1003469";"Vıprodej";"4C4237 20x25";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;12500,0;T
"";"1003471";"Vıprodej";"4C4241 20x25";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;12500,0;T
"";"1003474";"Vıprodej";"ELBRUS zelená svìtlá";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;13500,0;T
"";"1003475";"Vıprodej";"4C6056 25x33";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;13500,0;T
"";"1003486";"Vıprodej";"4CS006 20x25";"  1";" 20";" ";"";1,500;"";69,00;"m2";166,00000;12500,0;T
"";"1003487";"Vıprodej";"4CS012 20x25";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;12500,0;T
"";"1003490";"Vıprodej";"4D4017 20x25";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;T
"";"1003491";"Vıprodej";"4D4020 20x25";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;T
"";"1003492";"Vıprodej";"4D6002 25x33";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;200,0;T
"";"1003498";"Vıprodej";"4KI002 3,5x3,5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;10,0;T
"";"1003502";"Vıprodej";"4L1016 20x3";"  1";" 21";" ";"";0,000;"";18,00;"ks";21,16000;150,0;F
"";"1003504";"Vıprodej";"4L1020 20x3";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;T
"";"1003513";"Vıprodej";"4L2515 20x5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;F
"";"1003516";"Vıprodej";"4L5005 25x5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;F
"";"1003518";"Vıprodej";"4L5012 25x5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;F
"";"1003520";"Vıprodej";"4L5024 25x5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;T
"";"1003535";"Vıprodej";"4L7001 20x12,4";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;T
"";"1003540";"Vıprodej";"4L9019 20x2,5";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;F
"";"1003543";"Vıprodej";"4LE009 25x10";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;150,0;T
