;6;12112-2023;5;2;2023-03-01
;6;11773-2023;12;4;2023-03-01
;6;11941-2023;12;3;2023-03-01
;6;12116-2023;5;1;2023-03-01
;6;11867-2023;20;4;2023-03-01
;6;90579-2023;4;10;2023-03-01
;6;90469-2023;4;5;2023-03-01
;6;11909-2023;3;3;2023-03-01
;6;12162-2023;3;3;2023-03-01
;6;11912-2023;3;4;2023-03-01
;6;12192-2023;3;1;2023-03-01
;6;12089-2023;19;5;2023-03-01
;6;11918-2023;25;3;2023-03-01
;6;12158-2023;20;3;2023-03-03
;6;90607-2023;4;7;2023-03-03
;6;12243-2023;4;1;2023-03-03
;6;12226-2023;25;4;2023-03-03
;6;12138-2023;25;1;2023-03-03
;6;12160-2023;20;3;2023-03-03
;6;12199-2023;12;3;2023-03-03
;6;12035-2023;12;6;2023-03-03
;6;11958-2023;25;2;2023-03-03
;6;12257-2023;25;2;2023-03-03
;6;11902-2023;4;2;2023-03-03
;6;90606-2023;3;13;2023-03-03
;6;90625-2023;3;2;2023-03-03
;6;12258-2023;3;2;2023-03-03
;6;12159-2023;25;1;2023-03-03
;6;12080-2023;25;3;2023-03-03
;6;12270-2023;19;2;2023-03-03
;6;12021-2023;19;9;2023-03-03
;6;90639-2023;22;7;2023-03-07
;6;90635-2023;6;7;2023-03-08
;6;90645-2023;6;1;2023-03-08
;6;11654-2023;10;1;2023-03-08
;6;12357-2023;15;8;2023-03-08
;6;12418-2023;9;1;2023-03-08
;6;12378-2023;22;6;2023-03-08
;6;12412-2023;13;2;2023-03-08
;6;12303-2023;13;5;2023-03-08
;6;12379-2023;9;1;2023-03-08
;6;12361-2023;13;10;2023-03-08
;6;12244-2023;9;8;2023-03-08
;6;12245-2023;23;2;2023-03-08
;6;12242-2023;10;3;2023-03-08
;6;10562-2023;13;6;2023-03-08
;6;11714-2023;13;2;2023-03-08
;6;90666-2023;3;6;2023-03-13
;6;12571-2023;4;2;2023-03-13
;6;12525-2023;3;3;2023-03-13
;6;12542-2023;20;2;2023-03-13
;6;12531-2023;3;2;2023-03-13
;6;12558-2023;19;2;2023-03-13
;6;12445-2023;12;3;2023-03-13
;6;12472-2023;20;5;2023-03-13
;6;12540-2023;25;3;2023-03-13
;6;12474-2023;20;3;2023-03-13
;6;12534-2023;3;1;2023-03-13
;6;12442-2023;3;3;2023-03-13
;6;12376-2023;3;3;2023-03-13
;6;12507-2023;12;5;2023-03-13
;6;12274-2023;19;13;2023-03-13
;6;12038-2023;25;2;2023-03-13
;6;90711-2023;19;17;2023-03-15
;6;12637-2023;4;2;2023-03-16
;6;12652-2023;3;2;2023-03-16
;6;12655-2023;12;1;2023-03-16
;6;12291-2023;12;3;2023-03-16
;6;12748-2023;3;3;2023-03-16
;6;90700-2023;19;5;2023-03-16
;6;90747-2023;19;1;2023-03-16
;6;12541-2023;12;5;2023-03-16
;6;12746-2023;4;2;2023-03-16
;6;12714-2023;3;3;2023-03-16
;6;90697-2023;20;13;2023-03-16
;6;90745-2023;20;1;2023-03-16
